2025-01-01 17:52:23,491 INFO    MainThread:10380 [wandb_setup.py:_flush():76] Current SDK version is 0.17.5
2025-01-01 17:52:23,492 INFO    MainThread:10380 [wandb_setup.py:_flush():76] Configure stats pid to 10380
2025-01-01 17:52:23,492 INFO    MainThread:10380 [wandb_setup.py:_flush():76] Loading settings from C:\Users\IERI1\.config\wandb\settings
2025-01-01 17:52:23,492 INFO    MainThread:10380 [wandb_setup.py:_flush():76] Loading settings from E:\zjh\pykt-toolkit-main\examples\wandb\settings
2025-01-01 17:52:23,492 INFO    MainThread:10380 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2025-01-01 17:52:23,492 INFO    MainThread:10380 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2025-01-01 17:52:23,492 INFO    MainThread:10380 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'wandb_dkt_train.py', 'program_abspath': 'E:\\zjh\\pykt-toolkit-main\\examples\\wandb_dkt_train.py', 'program': 'E:\\zjh\\pykt-toolkit-main\\examples\\wandb_dkt_train.py'}
2025-01-01 17:52:23,492 INFO    MainThread:10380 [wandb_setup.py:_flush():76] Applying login settings: {}
2025-01-01 17:52:23,492 INFO    MainThread:10380 [wandb_init.py:_log_setup():529] Logging user logs to E:\zjh\pykt-toolkit-main\examples\wandb\run-20250101_175223-wvamrq9r\logs\debug.log
2025-01-01 17:52:23,492 INFO    MainThread:10380 [wandb_init.py:_log_setup():530] Logging internal logs to E:\zjh\pykt-toolkit-main\examples\wandb\run-20250101_175223-wvamrq9r\logs\debug-internal.log
2025-01-01 17:52:23,492 INFO    MainThread:10380 [wandb_init.py:init():569] calling init triggers
2025-01-01 17:52:23,492 INFO    MainThread:10380 [wandb_init.py:init():577] wandb.init called with sweep_config: {}
config: {}
2025-01-01 17:52:23,492 INFO    MainThread:10380 [wandb_init.py:init():619] starting backend
2025-01-01 17:52:23,492 INFO    MainThread:10380 [wandb_init.py:init():623] setting up manager
2025-01-01 17:52:23,493 INFO    MainThread:10380 [backend.py:_multiprocessing_setup():107] multiprocessing start_methods=spawn, using: spawn
2025-01-01 17:52:23,495 INFO    MainThread:10380 [wandb_init.py:init():631] backend started and connected
2025-01-01 17:52:23,498 INFO    MainThread:10380 [wandb_init.py:init():720] updated telemetry
2025-01-01 17:52:23,499 INFO    MainThread:10380 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2025-01-01 17:52:24,374 INFO    MainThread:10380 [wandb_run.py:_on_init():2435] communicating current version
2025-01-01 17:52:28,647 INFO    MainThread:10380 [wandb_run.py:_on_init():2444] got version response 
2025-01-01 17:52:28,647 INFO    MainThread:10380 [wandb_init.py:init():804] starting run threads in backend
2025-01-01 17:52:31,071 INFO    MainThread:10380 [wandb_run.py:_console_start():2413] atexit reg
2025-01-01 17:52:31,071 INFO    MainThread:10380 [wandb_run.py:_redirect():2255] redirect: wrap_raw
2025-01-01 17:52:31,071 INFO    MainThread:10380 [wandb_run.py:_redirect():2320] Wrapping output streams.
2025-01-01 17:52:31,071 INFO    MainThread:10380 [wandb_run.py:_redirect():2345] Redirects installed.
2025-01-01 17:52:31,072 INFO    MainThread:10380 [wandb_init.py:init():847] run started, returning control to user process
2025-01-01 17:53:45,593 WARNING MsgRouterThr:10380 [router.py:message_loop():77] message_loop has been closed
